x,location,watershed,site_enviro,site_type,site_salinity,lattitude,longitude,elevation,max_elevation_watershed-m,wsp,group_by_water_shed_percent,group_by_elevation,distribution,watershed_order,mauka,norm_order,norm_watershed_order,watershed_mauka,type_norm_order
104,Nohoana.Hoiwai,WAIKAPU,Agriculture,Loi,Freshwater,20.8560227,-156.510555,158.2,3053,0.051817884,MID.2,MID.1,5,WAIKAPU_5,KALA,6,WAIKAPU_6,WAIKAPU_KALA,2.Aggriculture_WAIKAPU_6
105,Nohoana.loi.A,WAIKAPU,Agriculture,Loi,Freshwater,20.8564452,-156.5102808,160.8,3053,0.052669505,MID.2,MID.1,3,WAIKAPU_3,KALA,5,WAIKAPU_5,WAIKAPU_KALA,1.Pristine_WAIKAPU_5
106,Nohoana.loi.B,WAIKAPU,Agriculture,Loi,Freshwater,20.8562407,-156.5104426,159.7,3053,0.052309204,MID.2,MID.1,4,WAIKAPU_4,KALA,6,WAIKAPU_6,WAIKAPU_KALA,1.Pristine_WAIKAPU_6
107,Nohoana.loi.C,WAIKAPU,Agriculture,Loi,Freshwater,20.8561344,-156.5105293,159,3053,0.052079921,MID.2,MID.1,4,WAIKAPU_4,KALA,6,WAIKAPU_6,WAIKAPU_KALA,2.Aggriculture_WAIKAPU_6
108,Waikapu.Kealia.muliwai,WAIKAPU,Brackish,Muliwai,Brackish,20.795867,-156.488033,1,3053,0.000327547,MAKAI,MAKAI,6,WAIKAPU_6,MAKAI,8,WAIKAPU_8,WAIKAPU_MAKAI,2.Aggriculture_WAIKAPU_8
109,Waikapu.poowai,WAIKAPU,Freshwater,Stream,Freshwater,20.857017,-156.51312,170.7,3053,0.055912217,MID.2,MID.1,1,WAIKAPU_1,KALA,5,WAIKAPU_5,WAIKAPU_KALA,1.Pristine_WAIKAPU_5
110,Waikapu.Shimizu,WAIKAPU,Agriculture,Loi,Freshwater,20.856983,-156.512383,169.9,3053,0.05565018,MID.2,MID.1,2,WAIKAPU_2,KALA,5,WAIKAPU_5,WAIKAPU_KALA,1.Pristine_WAIKAPU_5
111,Waikapu.stream,WAIKAPU,Freshwater,Stream,Freshwater,20.8559012,-156.5107767,159.4,3053,0.05221094,MID.2,MID.1,4,WAIKAPU_4,KALA,6,WAIKAPU_6,WAIKAPU_KALA,2.Aggriculture_WAIKAPU_6
112,KKO_2,HEEIA,Agriculture,Fishpond,Brackish,21.4376619,-157.8132678,2.6,830,0.00313253,MAKAI,MAKAI,9,HEEIA_9,MAKAI,9,HEEIA_9,HEEIA_MAKAI,3.Urban_HEEIA_9
113,KKO_3,HEEIA,Agriculture,Fishpond,Brackish,21.4367432,-157.8142351,1,830,0.001204819,MAKAI,MAKAI,10,HEEIA_10,MAKAI,9,HEEIA_9,HEEIA_MAKAI,3.Urban_HEEIA_9
114,KKO_Bridge,HEEIA,Agriculture,Fishpond,Brackish,21.4378332,-157.8121786,1.7,830,0.002048193,MAKAI,MAKAI,10,HEEIA_10,MAKAI,9,HEEIA_9,HEEIA_MAKAI,3.Urban_HEEIA_9
115,KKO_Excavation,HEEIA,Agriculture,Fishpond,Brackish,21.4351263,-157.8142331,1,830,0.001204819,MAKAI,MAKAI,10,HEEIA_10,MAKAI,9,HEEIA_9,HEEIA_MAKAI,3.Urban_HEEIA_9
116,KKO_S1.AUWAI_1,HEEIA,Agriculture,Loi,Freshwater,21.433056,-157.810556,6.2,830,0.00746988,MAKAI,MAKAI,6,HEEIA_6,MAKAI,8,HEEIA_8,HEEIA_MAKAI,3.Urban_HEEIA_8
117,KKO_S2.LOI_HOI_1,HEEIA,Agriculture,Loi,Freshwater,21.432222,-157.811111,4,830,0.004819277,MAKAI,MAKAI,7,HEEIA_7,MAKAI,8,HEEIA_8,HEEIA_MAKAI,3.Urban_HEEIA_8
118,KKO_S3.AUWAI_DAM,HEEIA,Agriculture,Loi,Freshwater,21.428611,-157.813889,5.8,830,0.006987952,MAKAI,MAKAI,6,HEEIA_6,MAKAI,8,HEEIA_8,HEEIA_MAKAI,3.Urban_HEEIA_8
119,KKO_S4.NEW_LOI_AUWAI,HEEIA,Agriculture,Loi,Freshwater,21.43,-157.813333,5.8,830,0.006987952,MAKAI,MAKAI,6,HEEIA_6,MAKAI,8,HEEIA_8,HEEIA_MAKAI,3.Urban_HEEIA_8
120,KKO_S5.EXIT_AUWAI,HEEIA,Agriculture,Loi,Freshwater,21.4325,-157.811667,4,830,0.004819277,MAKAI,MAKAI,8,HEEIA_8,MAKAI,8,HEEIA_8,HEEIA_MAKAI,3.Urban_HEEIA_8
121,KKO_S6.LOI_3,HEEIA,Agriculture,Loi,Freshwater,21.4332577,-157.8115927,5,830,0.006024096,MAKAI,MAKAI,7,HEEIA_7,MAKAI,8,HEEIA_8,HEEIA_MAKAI,3.Urban_HEEIA_8
122,KKO_Muliwai,HEEIA,Brackish,Muliwai,Brackish,21.4384608,-157.811122,1,830,0.001204819,MAKAI,MAKAI,11,HEEIA_11,MAKAI,9,HEEIA_9,HEEIA_MAKAI,3.Urban_HEEIA_9
123,KKO_Sulfur,HEEIA,Marine,Fishpond,Marine,21.4364236,-157.8130532,1,830,0.001204819,MAKAI,MAKAI,10,HEEIA_10,MAKAI,9,HEEIA_9,HEEIA_MAKAI,3.Urban_HEEIA_9
124,DOCK,HEEIA,Marine,Fishpond,Marine,21.4319473,-157.8070795,0.6,830,0.000722892,KAI,KAI,13,HEEIA_13,KAI,12,HEEIA_12,HEEIA_KAI,3.Urban_HEEIA_12
125,HAU,HEEIA,Marine,Fishpond,Marine,21.4323127,-157.8078151,2.8,830,0.003373494,MAKAI,MAKAI,9,HEEIA_9,MAKAI,9,HEEIA_9,HEEIA_MAKAI,3.Urban_HEEIA_9
126,HEEIA_MULIWAI,HEEIA,Marine,Fishpond,Marine,21.439947,-157.808895,0.3,830,0.000361446,MAKAI,MAKAI,14,HEEIA_14,MAKAI,9,HEEIA_9,HEEIA_MAKAI,3.Urban_HEEIA_9
127,HIHIMANU,HEEIA,Marine,Fishpond,Marine,21.433876,-157.805311,0,830,0,KAI,KAI,17,HEEIA_17,KAI,12,HEEIA_12,HEEIA_KAI,3.Urban_HEEIA_12
128,KAHOOKELE,HEEIA,Marine,Fishpond,Marine,21.4372855,-157.8058884,0,830,0,KAI,KAI,16,HEEIA_16,KAI,12,HEEIA_12,HEEIA_KAI,3.Urban_HEEIA_12
129,KEALOHI,HEEIA,Marine,Fishpond,Marine,21.43845,-157.806798,0,830,0,KAI,KAI,15,HEEIA_15,KAI,12,HEEIA_12,HEEIA_KAI,3.Urban_HEEIA_12
130,WAIKOLU,HEEIA,Marine,Fishpond,Marine,21.439078,-157.810477,0.7,830,0.000843373,MAKAI,MAKAI,12,HEEIA_12,MAKAI,9,HEEIA_9,HEEIA_MAKAI,3.Urban_HEEIA_9
131,WAIKOLU,HEEIA,Marine,Fishpond,Marine,21.439078,-157.81048,0.7,830,0.000843373,MAKAI,MAKAI,12,HEEIA_12,MAKAI,9,HEEIA_9,HEEIA_MAKAI,3.Urban_HEEIA_9
132,Papahana.AUWAI,HEEIA,Agriculture,Loi,Freshwater,21.41093,-157.821402,74.1,830,0.089277108,MID.2,MID.2,4,HEEIA_4,KALA,6,HEEIA_6,HEEIA_KALA,2.Aggriculture_HEEIA_6
133,Papahana.HOI,HEEIA,Agriculture,Loi,Freshwater,21.41093,-157.821402,74.1,830,0.089277108,MID.2,MID.2,5,HEEIA_5,KALA,6,HEEIA_6,HEEIA_KALA,2.Aggriculture_HEEIA_6
134,Papahana.KAHAWAI_1,HEEIA,Freshwater,Stream,Freshwater,21.409034,-157.823308,85,830,0.102409639,MID.2,MID.2,1,HEEIA_1,KALA,5,HEEIA_5,HEEIA_KALA,2.Aggriculture_HEEIA_5
135,Papahana.KAHAWAI_2,HEEIA,Freshwater,Stream,Freshwater,21.410456,-157.822405,79.2,830,0.095421687,MID.2,MID.2,3,HEEIA_3,KALA,5,HEEIA_5,HEEIA_KALA,2.Aggriculture_HEEIA_5
136,Papahana.KAHAWAI_3,HEEIA,Freshwater,Stream,Freshwater,21.410775,-157.822012,76.9,830,0.092650602,MID.2,MID.2,3,HEEIA_3,KALA,5,HEEIA_5,HEEIA_KALA,2.Aggriculture_HEEIA_5
137,PUNAWAI_WELL,HEEIA,Freshwater,Spring,Freshwater,21.411339,-157.822403,80.2,830,0.096626506,MID.2,MID.2,2,HEEIA_2,KALA,5,HEEIA_5,HEEIA_KALA,2.Aggriculture_HEEIA_5
138,Buzz,KAELEPULU,Brackish,Muliwai,Brackish,21.3967083,-157.7267,0.4,494,0.000809717,MAKAI,MAKAI,3,KAELEPULU_3,MAKAI,7,KAELEPULU_7,KAELEPULU_MAKAI,3.Urban_KAELEPULU_7
139,E.Kailua_Bay_1,KAELEPULU,Marine,Ocean,Marine,21.398473,-157.724751,0,494,0,KAI,KAI,4,KAELEPULU_4,KAI,10,KAELEPULU_10,KAELEPULU_KAI,3.Urban_KAELEPULU_10
140,E.Kailua_Bay_2,KAELEPULU,Marine,Ocean,Marine,21.398633,-157.724193,0,494,0,KAI,KAI,4,KAELEPULU_4,KAI,10,KAELEPULU_10,KAELEPULU_KAI,3.Urban_KAELEPULU_10
141,E.Kailua_Bay_CoralReef,KAELEPULU,Marine,Ocean,Marine,21.399032,-157.723335,0,494,0,KAI,KAI,4,KAELEPULU_4,KAI,10,KAELEPULU_10,KAELEPULU_KAI,3.Urban_KAELEPULU_10
142,Hamakua,KAELEPULU,Freshwater,Marsh,Freshwater,21.3908653,-157.74299,0.9,494,0.001821862,MAKAI,MAKAI,2,KAELEPULU_2,MAKAI,7,KAELEPULU_7,KAELEPULU_MAKAI,3.Urban_KAELEPULU_7
143,Waiawia,KAELEPULU,Freshwater,Marsh,Freshwater,21.3933125,-157.74568,0.6,494,0.001214575,MAKAI,MAKAI,1,KAELEPULU_1,MAKAI,7,KAELEPULU_7,KAELEPULU_MAKAI,3.Urban_KAELEPULU_7
144,3rd_Loi_3rd_Row,KALAUAO,Agriculture,Loi,Freshwater,21.383916,-157.941476,5.6,856,0.006542056,MAKAI,MAKAI,2,KALAUAO_2,MAKAI,7,KALAUAO_7,KALAUAO_MAKAI,3.Urban_KALAUAO_7
145,Kaonohi_auwai,KALAUAO,Agriculture,Loi,Freshwater,21.383889,-157.941337,5.5,856,0.006425234,MAKAI,MAKAI,2,KALAUAO_2,MAKAI,7,KALAUAO_7,KALAUAO_MAKAI,3.Urban_KALAUAO_7
146,Kaonohi_Hoi,KALAUAO,Agriculture,Loi,Freshwater,21.383532,-157.941708,3.9,856,0.004556075,MAKAI,MAKAI,8,KALAUAO_8,MAKAI,8,KALAUAO_8,KALAUAO_MAKAI,3.Urban_KALAUAO_8
147,Kopakaweli,KALAUAO,Freshwater,Spring,Freshwater,21.384061,-157.941067,5.7,856,0.006658879,MAKAI,MAKAI,1,KALAUAO_1,MAKAI,7,KALAUAO_7,KALAUAO_MAKAI,3.Urban_KALAUAO_7
148,Loi_2nd_Row_3rd_Loi,KALAUAO,Agriculture,Loi,Freshwater,21.3839552,-157.9414203,5.7,856,0.006658879,MAKAI,MAKAI,2,KALAUAO_2,MAKAI,7,KALAUAO_7,KALAUAO_MAKAI,3.Urban_KALAUAO_7
149,Loi_Kuahiwi,KALAUAO,Agriculture,Loi,Freshwater,21.383866,-157.941639,5.1,856,0.005957944,MAKAI,MAKAI,3,KALAUAO_3,MAKAI,7,KALAUAO_7,KALAUAO_MAKAI,3.Urban_KALAUAO_7
150,Puna,KALAUAO,Freshwater,Spring,Freshwater,21.384027,-157.940901,5.1,856,0.005957944,MAKAI,MAKAI,3,KALAUAO_3,MAKAI,7,KALAUAO_7,KALAUAO_MAKAI,3.Urban_KALAUAO_7
151,Small_Kuahiwi,KALAUAO,Agriculture,Loi,Freshwater,21.383784,-157.941755,4.4,856,0.005140187,MAKAI,MAKAI,7,KALAUAO_7,MAKAI,8,KALAUAO_8,KALAUAO_MAKAI,3.Urban_KALAUAO_8
152,Sumida.A2,KALAUAO,Freshwater,Watercress,Freshwater,21.3833037,-157.944646,5,856,0.005841121,MAKAI,MAKAI,20,KALAUAO_20,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
153,Sumida.B1,KALAUAO,Freshwater,Watercress,Freshwater,21.383089,-157.9446433,4.6,856,0.005373832,MAKAI,MAKAI,24,KALAUAO_24,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
154,Sumida.B2,KALAUAO,Freshwater,Watercress,Freshwater,21.3832563,-157.9445521,4.9,856,0.005724299,MAKAI,MAKAI,21,KALAUAO_21,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
155,Sumida.ctywtrwashtub,KALAUAO,Freshwater,Watercress,Freshwater,21.3825432,-157.9434,2.7,856,0.003154206,MAKAI,MAKAI,25,KALAUAO_25,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
156,Sumida.D4,KALAUAO,Freshwater,Watercress,Freshwater,21.383546,-157.9441391,4.3,856,0.005023364,MAKAI,MAKAI,18,KALAUAO_18,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
157,Sumida.F2,KALAUAO,Freshwater,Watercress,Freshwater,21.383084,-157.9441364,4,856,0.004672897,MAKAI,MAKAI,22,KALAUAO_22,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
158,Sumida.F3,KALAUAO,Freshwater,Watercress,Freshwater,21.3832638,-157.9440372,4,856,0.004672897,MAKAI,MAKAI,19,KALAUAO_19,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
159,Sumida.J3,KALAUAO,Freshwater,Watercress,Freshwater,21.3830365,-157.9436295,3.6,856,0.004205607,MAKAI,MAKAI,23,KALAUAO_23,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
160,Sumida.Makai_Sump_Pump,KALAUAO,Freshwater,Watercress,Freshwater,21.382477,-157.9435705,2.7,856,0.003154206,MAKAI,MAKAI,27,KALAUAO_27,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
161,Sumida.Mauka_Spring,KALAUAO,Freshwater,Watercress,Freshwater,21.3840131,-157.9424922,5,856,0.005841121,MAKAI,MAKAI,9,KALAUAO_9,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
162,Sumida.Middle_Spring,KALAUAO,Freshwater,Watercress,Freshwater,21.3828915,-157.9430409,3,856,0.003504673,MAKAI,MAKAI,17,KALAUAO_17,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
163,Sumida.P8,KALAUAO,Freshwater,Watercress,Freshwater,21.3837956,-157.942381,4.2,856,0.004906542,MAKAI,MAKAI,10,KALAUAO_10,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
164,Sumida.Q8,KALAUAO,Freshwater,Watercress,Freshwater,21.3837632,-157.9422898,4.1,856,0.00478972,MAKAI,MAKAI,11,KALAUAO_11,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
165,Sumida.R7,KALAUAO,Freshwater,Watercress,Freshwater,21.383366,-157.9423837,3.6,856,0.004205607,MAKAI,MAKAI,16,KALAUAO_16,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
166,Sumida.S8,KALAUAO,Freshwater,Watercress,Freshwater,21.3835434,-157.9421691,3.7,856,0.00432243,MAKAI,MAKAI,13,KALAUAO_13,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
167,Sumida.S8/S9,KALAUAO,Freshwater,Watercress,Freshwater,21.3836183,-157.9420699,3.7,856,0.00432243,MAKAI,MAKAI,12,KALAUAO_12,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
168,Sumida.sprwashtub,KALAUAO,Freshwater,Watercress,Freshwater,21.3825432,-157.9434,2.7,856,0.003154206,MAKAI,MAKAI,26,KALAUAO_26,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
169,Sumida.U7,KALAUAO,Freshwater,Watercress,Freshwater,21.383356,-157.9420109,3.3,856,0.00385514,MAKAI,MAKAI,15,KALAUAO_15,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
170,Sumida.U8_Channel,KALAUAO,Freshwater,Watercress,Freshwater,21.3835009,-157.9418687,3.7,856,0.00432243,MAKAI,MAKAI,14,KALAUAO_14,MAKAI,9,KALAUAO_9,KALAUAO_MAKAI,3.Urban_KALAUAO_9
171,Hookuaaina,KAWAINUI,Agriculture,Loi,Freshwater,21.3734409,-157.7646653,8.1,939,0.008626198,MAKAI,MAKAI,5,KAWAINUI_5,MAKAI,8,KAWAINUI_8,KAWAINUI_MAKAI,3.Urban_KAWAINUI_8
172,Kaha,KAWAINUI,Freshwater,Stream,Freshwater,21.4067519,-157.75613,0.1,939,0.000106496,MAKAI,MAKAI,9,KAWAINUI_9,MAKAI,9,KAWAINUI_9,KAWAINUI_MAKAI,3.Urban_KAWAINUI_9
173,Kahanaiki_stream,KAWAINUI,Freshwater,Stream,Freshwater,21.373347,-157.76777,22,939,0.02342918,MID.2,MAKAI,5,KAWAINUI_5,MAKAI,8,KAWAINUI_8,KAWAINUI_MAKAI,3.Urban_KAWAINUI_8
174,Kaleos_House,KAWAINUI,Freshwater,Stream,Freshwater,21.3647236,-157.77203,65.5,939,0.069755059,MID.2,MID.2,4,KAWAINUI_4,KALA,6,KAWAINUI_6,KAWAINUI_KALA,3.Urban_KAWAINUI_6
175,Kapaa_Quary_Spring,KAWAINUI,Freshwater,Spring,Freshwater,21.4037143,-157.76689,6.3,939,0.006709265,MAKAI,MAKAI,8,KAWAINUI_8,MAKAI,8,KAWAINUI_8,KAWAINUI_MAKAI,3.Urban_KAWAINUI_8
176,Mauka_Kawainui,KAWAINUI,Freshwater,Stream,Freshwater,21.4037143,-157.76689,6.3,939,0.006709265,MAKAI,MAKAI,8,KAWAINUI_8,MAKAI,8,KAWAINUI_8,KAWAINUI_MAKAI,3.Urban_KAWAINUI_8
177,Mauka_Lunahai,KAWAINUI,Freshwater,Stream,Freshwater,21.3638643,-157.77507,98.1,939,0.104472843,MID.2,MID.2,3,KAWAINUI_3,KALA,5,KAWAINUI_5,KAWAINUI_KALA,3.Urban_KAWAINUI_5
178,Maunawili_Falls_Trailhead,KAWAINUI,Freshwater,Stream,Freshwater,21.3589046,-157.76194,38,939,0.040468584,MAKAI,MAKAI,2,KAWAINUI_2,MAKAI,7,KAWAINUI_7,KAWAINUI_MAKAI,3.Urban_KAWAINUI_7
179,Mokapu_Outlet,KAWAINUI,Brackish,Muliwai,Brackish,21.4250181,-157.74137,0,939,0,MAKAI,MAKAI,11,KAWAINUI_11,MAKAI,9,KAWAINUI_9,KAWAINUI_MAKAI,3.Urban_KAWAINUI_9
180,Pikoakea,KAWAINUI,Freshwater,Spring,Freshwater,21.3477467,-157.77321,144.9,939,0.154313099,MID.2,MID.2,1,KAWAINUI_1,KALA,5,KAWAINUI_5,KAWAINUI_KALA,3.Urban_KAWAINUI_5
181,Sherines_House,KAWAINUI,Freshwater,Stream,Freshwater,21.4135332,-157.75076,0.4,939,0.000425985,MAKAI,MAKAI,10,KAWAINUI_10,MAKAI,9,KAWAINUI_9,KAWAINUI_MAKAI,3.Urban_KAWAINUI_9
182,W.Kailua_Bay_1,KAWAINUI,Marine,Ocean,Marine,21.423804,-157.740415,0,939,0,KAI,KAI,12,KAWAINUI_12,KAI,11,KAWAINUI_11,KAWAINUI_KAI,3.Urban_KAWAINUI_11
183,W.Kailua_Bay_2,KAWAINUI,Marine,Ocean,Marine,21.422126,-157.738956,0,939,0,KAI,KAI,12,KAWAINUI_12,KAI,11,KAWAINUI_11,KAWAINUI_KAI,3.Urban_KAWAINUI_11
184,W.Kailua_Bay_CoralReef,KAWAINUI,Marine,Ocean,Marine,21.422206,-157.739557,0,939,0,KAI,KAI,12,KAWAINUI_12,KAI,11,KAWAINUI_11,KAWAINUI_KAI,3.Urban_KAWAINUI_11
185,Ulupo.Hoi,KAWAINUI,Agriculture,Loi,Freshwater,21.38656,-157.75283,16.7,939,0.017784878,MAKAI,MAKAI,6,KAWAINUI_6,MAKAI,8,KAWAINUI_8,KAWAINUI_MAKAI,3.Urban_KAWAINUI_8
186,Ulupo.Kawainui,KAWAINUI,Freshwater,Marsh,Freshwater,21.3875796,-157.7528725,3.2,939,0.003407881,MAKAI,MAKAI,7,KAWAINUI_7,MAKAI,8,KAWAINUI_8,KAWAINUI_MAKAI,3.Urban_KAWAINUI_8
187,Ulupo.Kawainui_pipe,KAWAINUI,Agriculture,Loi,Freshwater,21.38735,-157.75247,8.6,939,0.009158679,MAKAI,MAKAI,7,KAWAINUI_7,MAKAI,8,KAWAINUI_8,KAWAINUI_MAKAI,3.Urban_KAWAINUI_8
188,Ulupo.Spring,KAWAINUI,Freshwater,Spring,Freshwater,21.3862,-157.75287,22.9,939,0.024387646,MAKAI,MAKAI,6,KAWAINUI_6,MAKAI,8,KAWAINUI_8,KAWAINUI_MAKAI,3.Urban_KAWAINUI_8
189,Ulupo.Stream,KAWAINUI,Agriculture,Loi,Freshwater,21.3860868,-157.7525908,22.4,939,0.023855165,MAKAI,MAKAI,6,KAWAINUI_6,MAKAI,8,KAWAINUI_8,KAWAINUI_MAKAI,3.Urban_KAWAINUI_8
190,Waimanalo_Site_1,WAIMANALO,Agriculture,Loi,Freshwater,21.342669,-157.7511174,152.9,785,0.19477707,MID.2,MID.1,1,WAIMANALO_1,KALA,5,WAIMANALO_5,WAIMANALO_KALA,3.Urban_WAIMANALO_5
191,Waimanalo_Site_2,WAIMANALO,Freshwater,Stream,Freshwater,21.329049,-157.6971254,5.8,785,0.007388535,MAKAI,MAKAI,2,WAIMANALO_2,MAKAI,7,WAIMANALO_7,WAIMANALO_MAKAI,3.Urban_WAIMANALO_7
192,Waimanalo_Site_4,WAIMANALO,Freshwater,Stream,Freshwater,21.3295133,-157.6915506,1.1,785,0.001401274,MAKAI,MAKAI,3,WAIMANALO_3,MAKAI,7,WAIMANALO_7,WAIMANALO_MAKAI,3.Urban_WAIMANALO_7
193,C_MAIKI_Site_5,WAIMEA,Freshwater,Stream,Freshwater,21.63696,-158.05855,6,710,0.008450704,MAKAI,MAKAI,4,WAIMEA_4,MAKAI,8,WAIMEA_8,WAIMEA_MAKAI,3.Urban_WAIMEA_8
194,C-MAIKI_Site_4,WAIMEA,Freshwater,Stream,Freshwater,21.633386,-158.05233,21.1,710,0.02971831,MAKAI,MAKAI,6,WAIMEA_6,MAKAI,8,WAIMEA_8,WAIMEA_MAKAI,1.Pristine_WAIMEA_8
195,Waimea_1,WAIMEA,Freshwater,Stream,Freshwater,21.640625,-158.063729,0.4,710,0.00056338,MAKAI,MAKAI,1,WAIMEA_1,MAKAI,7,WAIMEA_7,WAIMEA_MAKAI,3.Urban_WAIMEA_7
196,Waimea_10,WAIMEA,Freshwater,Stream,Freshwater,21.629171,-158.041217,61.9,710,0.087183099,MID.2,MID.2,10,WAIMEA_10,KALA,6,WAIMEA_6,WAIMEA_KALA,1.Pristine_WAIMEA_6
197,Waimea_11,WAIMEA,Freshwater,Stream,Freshwater,21.630408,-158.039886,65.3,710,0.091971831,MID.2,MID.2,11,WAIMEA_11,KALA,6,WAIMEA_6,WAIMEA_KALA,1.Pristine_WAIMEA_6
198,Waimea_2,WAIMEA,Freshwater,Stream,Freshwater,21.6409,-158.062922,0.3,710,0.000422535,MAKAI,MAKAI,2,WAIMEA_2,MAKAI,7,WAIMEA_7,WAIMEA_MAKAI,3.Urban_WAIMEA_7
199,Waimea_3,WAIMEA,Freshwater,Stream,Freshwater,21.640836,-158.06251,0.1,710,0.000140845,MAKAI,MAKAI,3,WAIMEA_3,MAKAI,7,WAIMEA_7,WAIMEA_MAKAI,3.Urban_WAIMEA_7
200,Waimea_4,WAIMEA,Freshwater,Stream,Freshwater,21.637648,-158.057993,0.4,710,0.00056338,MAKAI,MAKAI,4,WAIMEA_4,MAKAI,8,WAIMEA_8,WAIMEA_MAKAI,3.Urban_WAIMEA_8
201,Waimea_5,WAIMEA,Freshwater,Stream,Freshwater,21.634053,-158.053844,12.4,710,0.017464789,MAKAI,MAKAI,5,WAIMEA_5,MAKAI,8,WAIMEA_8,WAIMEA_MAKAI,3.Urban_WAIMEA_8
202,Waimea_6,WAIMEA,Freshwater,Stream,Freshwater,21.633386,-158.05233,21.1,710,0.02971831,MAKAI,MAKAI,6,WAIMEA_6,MAKAI,8,WAIMEA_8,WAIMEA_MAKAI,1.Pristine_WAIMEA_8
203,Waimea_7,WAIMEA,Freshwater,Stream,Freshwater,21.630423,-158.044817,27.6,710,0.038873239,MAKAI,MAKAI,7,WAIMEA_7,MAKAI,8,WAIMEA_8,WAIMEA_MAKAI,1.Pristine_WAIMEA_8
204,Waimea_8,WAIMEA,Freshwater,Stream,Freshwater,21.630569,-158.044297,35.7,710,0.05028169,MID.2,MAKAI,8,WAIMEA_8,KALA,6,WAIMEA_6,WAIMEA_KALA,1.Pristine_WAIMEA_6
205,Waimea_9,WAIMEA,Freshwater,Stream,Freshwater,21.630329,-158.042548,55.9,710,0.078732394,MID.2,MID.2,9,WAIMEA_9,KALA,6,WAIMEA_6,WAIMEA_KALA,1.Pristine_WAIMEA_6
206,Waimea_Ocean_Site_M1D,WAIMEA,Marine,Ocean,Marine,21.63854,-158.0717,0,710,0,KAI,KAI,12,WAIMEA_12,KAI,11,WAIMEA_11,WAIMEA_KAI,1.Pristine_WAIMEA_11
207,Waimea_Ocean_Site_M1S,WAIMEA,Marine,Ocean,Marine,21.63854,-158.0717,0,710,0,KAI,KAI,12,WAIMEA_12,KAI,11,WAIMEA_11,WAIMEA_KAI,1.Pristine_WAIMEA_11
208,Waimea_Ocean_Site_M2D,WAIMEA,Marine,Ocean,Marine,21.63852,-158.07062,0,710,0,KAI,KAI,13,WAIMEA_13,KAI,12,WAIMEA_12,WAIMEA_KAI,1.Pristine_WAIMEA_12
209,Waimea_Ocean_Site_M2S,WAIMEA,Marine,Ocean,Marine,21.63852,-158.07062,0,710,0,KAI,KAI,13,WAIMEA_13,KAI,12,WAIMEA_12,WAIMEA_KAI,1.Pristine_WAIMEA_12
210,Cl_WHILF,KIHOLO,Freshwater,Groundwater,Freshwater,19.888611,-155.875833,69.3,1571,0.044112031,MID.2,MID.2,3,KIHOLO_3,KALA,6,KIHOLO_6,KIHOLO_MID,2.Aggriculture_KIHOLO_6
211,N1_MakaniGC,KIHOLO,Freshwater,Groundwater,Freshwater,19.820556,-155.841667,656.2,1571,0.417695735,MAUKA.3,MAUKA.2,2,KIHOLO_2,MAUKA,3,KIHOLO_3,KIHOLO_MAUKA,2.Aggriculture_KIHOLO_3
212,N1_Puulani,KIHOLO,Freshwater,Groundwater,Freshwater,19.813333,-155.833889,706.1,1571,0.449458943,MAUKA.3,MAUKA.2,2,KIHOLO_2,MAUKA,3,KIHOLO_3,KIHOLO_MAUKA,2.Aggriculture_KIHOLO_3
213,N1_Puuwaawaa,KIHOLO,Freshwater,Groundwater,Freshwater,19.779167,-155.841389,772,1571,0.491406747,MAUKA.3,MAUKA.2,1,KIHOLO_1,MAUKA,3,KIHOLO_3,KIHOLO_MAUKA,2.Aggriculture_KIHOLO_3
